,,,
10,6.50E+04,10,7.50E+04
5,6.50E+04,10,7.00E+04
3,6.50E+04,5,7.00E+04
2,7.50E+04,3,7.00E+04
2,8.00E+04,2,8.50E+04
1,9.00E+04,1,1.20E+05
1,1.00E+05,1,1.15E+05
,,1,1.10E+05
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"	2.75E+04	0								",,,
"	2.75E+04	5								",,,
"	2.75E+04	10								",,,
